TransactionId,TransactionDateTime,SelfServiceStatus,EventName,EventDate,VenueCountry,VenueCity,Section,Row,SeatFrom,SeatTo,Quantity,ListingNotes,CurrencyCode,TotalSellerNetProceeds,DeliveryMethodName
539261281,16/07/2024 04:33:18 p. m.,Complete,Guadalajara Chivas vs. Mazatlan FC,20/07/2024 11:00:00 p. m.,México,Zapopan,Lower Tier 34,,,,5,Organización del Evento,MXN,4711.5000,Transferencia móvil
538732654,07/07/2024 12:30:00 p. m.,Complete,Guadalajara vs Juárez,31/08/2024 11:00:00 p. m.,México,Zapopan,Upper Tier 43,,,,4,Organización del Evento,MXN,2689.2000,Transferencia móvil
534733802,09/05/2024 04:43:04 a. m.,Complete,Bely y Beto,12/05/2024 09:00:00 p. m.,México,Toluca,general,,,,4,Organización del Evento,MXN,6480.0000,Entrada electrónica
547919297,04/11/2024 08:00:17 p. m.,Complete,Guadalajara vs Atlético San Luis,09/11/2024 11:05:00 p. m.,México,Zapopan,Upper Tier 23,,,,6,Organización del Evento,MXN,3780.0000,Transferencia móvil
543804540,15/09/2024 12:06:28 p. m.,Complete,Guadalajara vs León,19/09/2024 01:00:00 a. m.,México,Zapopan,Lower Tier 10,,,,2,Organización del Evento,MXN,1798.2000,Transferencia móvil
540755399,08/08/2024 12:42:24 a. m.,Complete,Guadalajara vs Juárez,31/08/2024 11:00:00 p. m.,México,Zapopan,Lower Tier 10,,,,7,Organización del Evento,MXN,4397.4000,Transferencia móvil
523988291,08/10/2023 01:51:30 a. m.,Complete,Alejandro Fernández - Palenque Fiestas de Octubre 2023,05/11/2023 05:30:00 a. m.,México,Zapopan,Plata,,,,3,,MXN,11337.3000,Entrada electrónica
546096983,11/10/2024 10:49:24 p. m.,Complete,Guadalajara vs Pumas,03/11/2024 01:05:00 a. m.,México,Zapopan,Lower Tier 19,,,,3,Organización del Evento,MXN,5823.9000,Transferencia móvil
524661996,23/10/2023 12:41:48 a. m.,Complete,Julión Álvarez,13/12/2023 05:00:00 a. m.,México,Santiago de Querétaro,Zona VIP,,,,1,,MXN,12509.1000,Entrada electrónica
523319108,25/09/2023 06:46:18 p. m.,Complete,Remmy Valenzuela - Palenque Fiestas de Octubre 2023,15/10/2023 05:30:00 a. m.,México,Zapopan,Plata,,,,2,,MXN,5765.4000,FedEx - International Priority
527846385,30/12/2023 04:41:20 a. m.,Complete,Palenque de la Feria de León - Carlos Rivera,26/01/2024 02:00:00 a. m.,México,Leon,VIP,,,,2,,MXN,14367.6000,Entrada electrónica
514802391,15/04/2023 01:41:36 a. m.,Complete,Pepe Aguilar,26/04/2023 04:00:00 a. m.,México,Aguascalientes,General,,,,3,,MXN,3547.8000,FedEx - International Priority
542570917,31/08/2024 08:03:57 p. m.,Complete,Guadalajara vs Juárez,31/08/2024 11:00:00 p. m.,México,Zapopan,Upper Tier 8,,,,4,Organización del Evento,MXN,1796.4000,Transferencia móvil
538573759,04/07/2024 09:32:14 p. m.,Complete,Chivas vs Toluca,07/07/2024 01:00:00 a. m.,México,Zapopan,Grada Superior,,,,7,"Incluye estacionamiento, Organización del Evento",MXN,2173.5000,Transferencia móvil
544749023,26/09/2024 01:24:45 a. m.,Complete,Guadalajara vs Atlas,06/10/2024 01:05:00 a. m.,México,Zapopan,Lower Tier 26,,,,4,Organización del Evento,MXN,7185.6000,Transferencia móvil
524052599,09/10/2023 06:39:33 p. m.,Complete,Julión Álvarez - Palenque Fiestas de Octubre 2023,27/10/2023 05:30:00 a. m.,México,Zapopan,Plata,,,,2,,MXN,7198.2000,FedEx Nacional Día Siguiente
537901112,25/06/2024 04:00:20 a. m.,Complete,Chivas vs Toluca,07/07/2024 01:00:00 a. m.,México,Zapopan,Upper Tier 23,,,,6,"Incluye estacionamiento, Organización del Evento",MXN,5275.8000,Transferencia móvil
541343004,16/08/2024 12:46:55 a. m.,Complete,Guadalajara vs Juárez,31/08/2024 11:00:00 p. m.,México,Zapopan,Upper Tier 9,,,,10,Organización del Evento,MXN,4122.0000,Transferencia móvil
546178636,12/10/2024 08:48:45 p. m.,Complete,Guadalajara vs Atlético San Luis,09/11/2024 11:05:00 p. m.,México,Zapopan,Lower Tier 14,,,,6,Organización del Evento,MXN,4417.2000,Transferencia móvil
542951869,05/09/2024 08:40:42 p. m.,Complete,Guadalajara vs León,19/09/2024 01:00:00 a. m.,México,Zapopan,Upper Tier 26,,,,5,Organización del Evento,MXN,3924.0000,Transferencia móvil
539439775,19/07/2024 08:04:11 p. m.,Complete,Guadalajara Chivas vs. Mazatlan FC,20/07/2024 11:00:00 p. m.,México,Zapopan,Lower Tier 34,,,,5,Organización del Evento,MXN,4446.0000,Transferencia móvil
526722841,05/12/2023 09:08:12 p. m.,Complete,Palenque Feria Internacional Ganadera - Alfredo Olivas,07/12/2023 02:00:00 a. m.,México,Santiago de Querétaro,General,S,,,2,,MXN,4320.0000,Entrada electrónica
530477971,28/02/2024 07:50:03 p. m.,Complete,Carlos Rivera,02/05/2024 02:00:00 a. m.,México,Aguascalientes,Dorada,,,,2,Organización del Evento,MXN,8800.2000,FedEx Nacional Día Siguiente
545611064,05/10/2024 07:30:52 p. m.,Complete,Guadalajara vs Atlas,06/10/2024 01:05:00 a. m.,México,Zapopan,Lower Tier 25,,,,6,Organización del Evento,MXN,7489.8000,Transferencia móvil
515146085,22/04/2023 03:47:49 a. m.,Complete,Chuy Lizarraga,30/04/2023 04:00:00 a. m.,México,Aguascalientes,General,,,,2,,MXN,2491.2000,FedEx Nacional Día Siguiente
546876553,21/10/2024 09:42:04 p. m.,Complete,Guadalajara vs Necaxa,23/10/2024 01:05:00 a. m.,México,Zapopan,Upper Tier 17,,,,3,Organización del Evento,MXN,658.8000,Transferencia móvil
